"date","prcp","tx","tn","HRmean","HRmax","HRmin","dir","DIR","vel","radMean","radMax"
"2023-02-16",5,23.4,8.3,73.13125,100,37,326.5,"NNW",20.06,282.523958333333,971.8
"2023-02-17",4.8,14.6,7.9,91.9572916666667,100,77.4,170.5,"S",26.95,182.482291666667,905.7
"2023-02-18",3.8,16.8,7.2,94.0572916666667,100,67.7,162.4,"SSE",22.98,165.642708333333,980.3
"2023-02-19",0,16.8,7.9,88.5354166666667,100,67.8,153.5,"SSE",23.29,246.892708333333,1019.3
"2023-02-20",0,18.9,8.9,82.459375,100,60,143.9,"SE",19.49,274.397916666667,1151.4
"2023-02-21",0.6,20.8,8.6,79.1083333333333,99.2,45.6,98.7,"E",19.67,228.697916666667,1087.4
"2023-02-22",0.6,19.9,8.3,81.0927083333333,100,52.8,135,"SE",16.79,209.589583333333,1087.4
"2023-02-23",8.6,23,7.2,77.1239583333333,100,35.2,308.9,"NW",18.13,240.75625,971.5
"2023-02-24",0,20.5,9.9,82.478125,99.9,55.9,163,"SSE",19.23,232.704166666667,1024.3
"2023-02-25",0,24.5,9.9,67.159375,100,29.6,333.6,"NNW",18.63,269.083333333333,971.3
"2023-02-26",0,20.1,7.5,76.415625,95.4,56.1,88.2,"E",21.5,204.007291666667,940.8
"2023-02-27",9,17.8,10.1,90.7927083333333,100,59.3,157.7,"SSE",15.71,121.207291666667,597.2
"2023-02-28",0,22.1,6.2,76.325,100,41.4,190.8,"S",17.93,283.267708333333,948.5
"2023-03-01",0,22.9,6.8,70.7125,100,38,347.4,"N",17.16,253.919791666667,1008.6
"2023-03-02",0,23.1,6,75.8729166666667,97.6,38.1,123,"ESE",24.63,253.18125,988.4
"2023-03-03",0,21.3,9.3,80.9552083333333,100,45.4,165,"S",15.92,218.279166666667,972.3
"2023-03-04",0,19.2,7.2,81.9479166666667,100,64.3,166,"S",19.65,172.671875,1043.7
"2023-03-05",0,20.3,8.8,75.5489583333333,98.6,54.6,158.8,"SSE",17.63,211.18125,1037.7
"2023-03-06",0,24.6,6.8,71.0645833333333,99.7,30.2,150.5,"SSE",16.32,287.071875,970.7
"2023-03-07",12.6,24.1,7.8,83.509375,100,39.4,101.2,"E",28.71,176.132291666667,1076.5
"2023-03-08",0.2,20.5,7.7,86.025,100,49.6,159.7,"SSE",22.17,147.601041666667,561.7
"2023-03-09",0.6,17.7,9.5,84.7854166666667,98.3,61.4,167.3,"S",26.16,182.763541666667,1035.8
"2023-03-10",0.6,19,7.7,82.7770833333333,100,54.7,160.6,"SSE",20.68,273.365625,1040.3
"2023-03-11",0,19,6.5,74.7239583333333,100,47.3,146.1,"SSE",17.82,263.821875,1031.9
"2023-03-12",0,20.3,8.5,73.4895833333333,99,44.7,142.8,"SE",17.2,243.8125,986.3
"2023-03-13",0,21.4,12.4,65.6904761904762,89.1,45.7,130.3,"SE",17.45,336.136507936508,1040.3
"2023-03-14",10,19.4,8.6,81.6270833333333,100,55.4,100.8,"E",15.97,211.078125,1114.4
"2023-03-15",0.8,15,7.8,88.265625,100,69.4,173,"S",19.76,117.028125,488.4
"2023-03-16",0.2,15.9,8.4,83.1875,99.4,59,182.7,"S",18.63,162.31875,790
"2023-03-17",2.2,17.9,6.9,76.9677083333333,100,53.7,117.2,"ESE",24.06,223.186458333333,941.8
"2023-03-18",0,16.6,5.6,72.68125,98,53.8,139.9,"SE",20.81,206.603125,915.3
"2023-03-19",0,16.6,6.9,73.7208333333333,95,56.4,153.3,"SSE",18.8,182.088541666667,861.7
"2023-03-20",7.6,14.7,8.2,90.94375,100,77.7,117.6,"ESE",21.16,126.74375,909.1
"2023-03-21",1,15.4,7.3,84.2177083333333,99.9,64.6,190.9,"S",20.37,170.44375,861.2
"2023-03-22",0.4,15.3,8.8,84.2989583333333,96.7,67,156.1,"SSE",20.71,132.6375,835.2
"2023-03-23",1.4,15.5,8.6,94.2166666666667,100,75.7,167.4,"S",23.1,163.807291666667,946.9
"2023-03-24",5.4,16.3,6.9,92.0541666666667,100,65.5,157.9,"SSE",16.87,101.082291666667,657.9
"2023-03-25",0,19.7,6.4,84.8322916666667,100,54.2,83.3,"E",18.1,173.592708333333,935
"2023-03-26",3.4,14.9,8.5,92.2322916666667,100,72.2,129.8,"SE",17.45,101.8125,521.7
"2023-03-27",3.2,18.8,4.5,86.5677083333333,100,50.2,287.1,"WNW",16.35,177.58125,998.7
"2023-03-28",0,14.7,5.2,94.1756756756757,100,66,356.2,"N",11.69,68.0756756756757,490.4
