"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","DIR","vel","radMean","radMax"
"2023-02-15",1.4,24.6,14.3,85.46875,100,62.3,776.359375,778.7,774.1,85.1,"E",38.97,137.05625,863.9
"2023-02-16",0.2,32,13.9,74.51875,100,32.5,771.411458333333,776.2,766.7,239,"WSW",30.97,319.641666666667,1033
"2023-02-17",23.2,18.1,11.1,91.5052083333333,100,76.9,776.719791666667,780,773.4,102.7,"E",34.99,88.4197916666667,799.1
"2023-02-18",1.4,15.8,10.3,88.9760416666667,100,71.5,779.217708333333,781.3,777.7,87.7,"E",24.27,123.2875,994.7
"2023-02-19",0,21.6,9.7,87.0427083333333,100,63.6,778.480208333333,780.6,776,72.4,"ENE",27.72,197.622916666667,1174.7
"2023-02-20",0,26.3,12.2,77.596875,98.1,48.8,777.908333333333,779.6,775,46.5,"NE",29.82,290.504166666667,1181.1
"2023-02-21",0,27.4,13.4,72.4270833333333,87.6,45.2,777.772916666667,779.7,774.8,90.1,"E",31.19,300.841666666667,1091.3
"2023-02-22",0,25.3,12.3,74.3208333333333,94.9,47.9,778.372916666667,780.5,775.3,28.6,"NNE",29.63,269.7375,1201.2
"2023-02-23",0,28.7,13.5,75.3885416666667,99.5,44.2,777.854166666667,779.6,775.8,61.6,"ENE",37.54,288.376041666667,1027.5
"2023-02-24",0,24.6,15.7,76.4916666666667,95.5,54.4,778.196875,780.9,775.1,89.2,"E",31.25,216.2125,991
"2023-02-25",0,31,13.2,71.2166666666667,100,35.5,775.601041666667,778.4,771.5,43.7,"NE",31.94,291.894791666667,1077.7
"2023-02-26",0,28.5,14.7,77.1395833333333,94.5,48.5,778.017708333333,781.6,776.4,83.4,"E",42.02,190.328125,1197.1
"2023-02-27",0.2,22.9,14.4,80.178125,98.7,61.8,781.365625,783.2,778.8,75.3,"E",22.47,170.695833333333,891.7
"2023-02-28",0,27.8,11.8,71.7260416666667,95.4,44.2,780.069791666667,782.7,776.4,93.3,"E",29.59,283.375,1057.1
"2023-03-01",0,29.5,13.9,70.0072916666667,96.4,41.3,776.61875,779.3,773.1,45.2,"NE",31.57,289.678125,974.4
"2023-03-02",0,25.8,15,77.3427083333333,91.3,55.5,776.367708333333,779.9,774.6,62.1,"ENE",51.64,156.275,873.5
"2023-03-03",0,26.5,13.1,71.0135416666667,95.4,43.4,776.609375,779.5,773,62.5,"ENE",23.95,198.357291666667,957
"2023-03-04",0,26.6,14.1,70.7322916666667,88.7,50.5,777.846875,781.5,775.2,134.1,"SE",32.2,240.95625,1192.5
"2023-03-05",0,29.5,15.3,71.6614583333333,94.8,39.5,779.157291666667,781.3,775.5,78.4,"E",27.34,212.873958333333,1062.7
"2023-03-06",0,30.6,14,67.7677083333333,98.5,33.3,776.515625,779.6,772.9,56.1,"ENE",31.98,273.888541666667,930.8
"2023-03-07",18.4,30.5,14.2,75.8416666666667,100,40.7,775.859375,779.9,772.6,66,"ENE",45.93,210.913541666667,1020.4
"2023-03-08",0,21.8,13.3,91.4916666666667,100,68.8,777.707291666667,780,774.5,28.5,"NNE",18.9,125.373958333333,528.9
"2023-03-09",1.8,25.3,14.2,87.690625,100,53.9,778.85,780.7,776.3,51.8,"NE",30.67,227.058333333333,1108.7
"2023-03-10",7.2,27.3,12.8,82.3864583333333,100,44.7,779.141666666667,781.1,775.6,85.6,"E",31.75,247.467708333333,1067
"2023-03-11",0,26,13.7,75.18125,100,37.5,778.901041666667,781.4,776,89.5,"E",31.26,304.65625,1087
"2023-03-12",0,27.3,13.9,71.58125,96,40.4,778.132291666667,779.8,775.3,94.7,"E",34.93,301.983333333333,1154.1
"2023-03-13",0,26.9,17,62.8333333333333,80.8,45.9,777.152380952381,779.3,774.5,66.1,"ENE",33.63,331.37619047619,973.2
"2023-03-14",10.6,24.9,13,83.025,100,54.2,777.513541666667,780.4,774.1,297.4,"WNW",25.89,190.111458333333,893
"2023-03-15",5.2,24.1,13.8,87.3791666666667,100,60.5,778.079166666667,780.7,775.3,19.4,"NNE",29.03,159.817708333333,843.6
"2023-03-16",0,23.9,14.1,70.8791666666667,97.9,45,778.664583333333,780.6,775.7,111.3,"ESE",31.12,242.738541666667,1012.5
"2023-03-17",0,24.1,12.2,63.878125,87.1,44.3,778.604166666667,780.7,775.3,120,"ESE",34.55,251.469791666667,957
"2023-03-18",0,24.2,12,67.753125,89.1,43.5,778.907291666667,780.7,776,121.1,"ESE",39.67,222.039583333333,1007.9
"2023-03-19",0,24.5,11.8,69.1260416666667,89.7,44.8,778.186458333333,780.4,774.8,122.6,"ESE",35.52,182.417708333333,1086
"2023-03-20",1,22.1,13.2,78.421875,100,58.3,778.648958333333,780.3,776.3,138.2,"SE",37.94,210.729166666667,847.6
"2023-03-21",3.6,22.1,13.1,78.9427083333333,100,52.5,779.010416666667,781.2,776.2,142.3,"SE",40.77,251.429166666667,1084.7
"2023-03-22",13,17.8,13.1,94.621875,100,77.6,780.101041666667,781.6,778.6,157.4,"SSE",27.17,133.305208333333,763.1
"2023-03-23",8.4,20.2,13.6,91.8135416666667,100,71.6,780.107291666667,782,777.9,82.9,"E",29.3,149.402083333333,1053.6
"2023-03-24",1.8,26.4,13.4,85.5489583333333,100,52.3,779.608333333333,781.5,776.8,67.2,"ENE",33.77,263.56875,1090.4
"2023-03-25",0,25.9,12.9,82.4552083333333,100,52.8,778.86875,781.1,776,68.7,"ENE",35.06,220.446875,1025.8
"2023-03-26",4,22.3,13.1,92.4854166666667,100,63.8,781.344791666667,783,780,210.9,"SSW",32.73,116.029166666667,1078.1
"2023-03-27",0,26.4,12,81.4864583333333,100,44.7,779.807291666667,782.6,777,63.7,"ENE",28.72,232.313541666667,1057.2
"2023-03-28",0,18.5,11.8,88.9787878787879,94.9,67.3,777.639393939394,778.1,777.3,264,"W",15.35,42.4909090909091,390.4
