"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","DIR","vel","radMean","radMax"
"2022-12-31",39066,18.8,6.8,78.69375,99.4,53.3,156.189583333333,770.9,0.1,107.1,"ESE",17.93,0.0229166666666667,0.6
"2023-01-01",77344,21.4,7.9,68.9552083333333,100,40.7,225.908333333333,1023.8,0.1,128.1,"SE",18.63,0,0
"2023-01-02",46841,17.6,9.7,85.2479166666667,100,59.2,110.779166666667,875.7,0.1,173.8,"S",28.26,0.0291666666666667,1.4
"2023-01-03",80678,22.7,9.7,82.4260416666667,100,42.5,194.707291666667,947.1,0.1,165.3,"S",20.32,0.175,13.8
"2023-01-04",82894,12.5,6.6,88.6989583333333,100,64.1,67.715625,348.2,0.1,156.4,"SSE",27.52,0.0895833333333333,1.6
"2023-01-05",81917,15.6,5.9,78.2333333333333,100,60.6,203.933333333333,879.5,0.1,188,"S",22.14,0,0
"2023-01-06",80763,17.8,5.4,67.9333333333333,96.1,47.3,228.141666666667,1007.9,0.1,122.5,"ESE",22.67,0,0
"2023-01-07",81880,19.5,6.6,66.6833333333333,88.7,43.4,250.263541666667,1011.7,0.1,121.7,"ESE",20.78,0,0
"2023-01-08",80622,17.8,9.9,77.5864583333333,94.5,56.4,145.692708333333,891.7,0.1,139.4,"SE",17.6,0.01875,0.8
"2023-01-09",81493,19.7,9.1,78.68125,99.1,50,221.433333333333,1052.9,0.1,162.9,"SSE",16.58,0.0104166666666667,0.2
"2023-01-10",80766,22.4,7.1,68.8958333333333,100,22.8,286.634375,985.8,0.1,133.6,"SE",23.81,0,0
"2023-01-11",80622,22.7,7.1,71.5739583333333,97.3,37.9,234.379166666667,1047.5,0.1,94.6,"E",33.55,0.0208333333333333,0.8
"2023-01-12",45054,20.1,6,75.8038461538462,96.4,40,306.673076923077,968.5,0.1,321.5,"NW",15.47,0,0
